RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Ja Morant,Mem,*,G,26.3,12,28.8,32.5,18.7,69,0.942,135,0.444,60,0.167,0.385,0.477,17.9,3.5,7.6,1.0,0.1,3.8,21.4,25.5,29.0,10.8,98.6,111.0
,CJ McCollum,Was,*,G,34.2,18,29.7,24.4,8.7,52,0.788,137,0.453,126,0.413,0.532,0.561,17.8,3.2,3.3,0.8,0.2,1.4,21.1,21.1,24.3,7.7,112.9,122.6
,Trae Young,Atl,*,G,27.2,5,27.8,29.6,12.4,39,0.821,44,0.477,26,0.192,0.407,0.511,17.8,2.0,7.8,0.8,0.2,2.0,19.8,25.6,27.6,9.4,112.1,115.1
,Amen Thompson,Hou,*,G-F,22.8,16,36.6,20.7,13.8,64,0.797,194,0.526,36,0.222,0.496,0.54,17.4,6.9,5.1,1.4,0.4,2.3,24.3,22.5,29.4,9.3,120.1,109.1
,Jordan Poole,Nor,*,G,26.4,7,30.3,25.1,13.1,32,0.969,40,0.375,59,0.339,0.455,0.535,17.3,1.7,3.4,0.3,0.3,2.1,19.0,20.7,22.4,6.1,108.8,120.4
,Domantas Sabonis,Sac,*,F-C,29.6,11,33.2,22.8,16.2,51,0.725,125,0.56,20,0.2,0.524,0.564,17.2,12.3,3.7,1.2,0.2,2.5,29.5,20.9,33.2,11.1,113.0,107.9
,Andrew Nembhard,Ind,*,G-F,25.9,12,30.9,24.3,15.2,62,0.871,95,0.453,67,0.328,0.469,0.544,17.2,1.8,6.2,0.8,0.2,2.4,18.9,23.3,25.1,7.5,110.7,113.9
,Stephon Castle,San,*,G,21.1,13,32.0,24.7,24.8,85,0.694,104,0.615,50,0.24,0.532,0.583,17.2,5.8,7.6,1.7,0.4,3.9,22.9,24.8,30.5,11.4,113.6,103.3
,Andrew Wiggins,Mia,*,F,30.8,17,33.2,20.6,12.0,49,0.714,150,0.56,84,0.357,0.551,0.573,17.2,4.8,2.9,1.2,0.9,1.9,22.1,20.1,24.9,7.5,111.0,108.8
,Brandon Miller,Cha,*,F,23.0,6,25.0,29.8,9.3,25,0.84,40,0.525,47,0.277,0.466,0.52,17.0,2.0,3.0,0.5,1.2,1.5,19.0,20.0,22.0,7.5,108.8,116.3
,Kelly Oubre Jr.,Phi,*,F-G,30.0,12,34.8,18.4,10.8,38,0.789,82,0.622,67,0.343,0.574,0.606,16.8,5.1,1.3,1.1,0.8,1.5,21.8,18.1,23.2,5.5,117.2,112.8
,Jrue Holiday,Por,*,G,35.5,12,33.4,20.9,17.4,25,0.84,81,0.531,85,0.365,0.539,0.565,16.7,5.3,8.2,1.6,0.3,2.9,21.9,24.8,30.1,10.8,118.2,115.9
,Cooper Flagg,Dal,*,F,18.9,20,33.9,21.8,13.3,71,0.803,204,0.539,75,0.253,0.496,0.538,16.7,6.6,3.5,1.4,0.6,2.2,23.3,20.2,26.7,8.6,105.5,108.2
,LeBron James,Lal,*,F,40.9,4,32.6,22.6,13.1,16,0.5,35,0.571,18,0.333,0.547,0.55,16.5,5.0,8.3,1.0,0.3,2.0,21.5,24.8,29.8,10.8,119.3,113.7
,Onyeka Okongwu,Atl,*,F-C,25.0,19,29.3,21.2,13.0,58,0.759,129,0.605,92,0.413,0.611,0.637,16.5,7.1,2.6,0.8,1.1,1.7,23.6,19.2,26.3,9.2,119.8,104.6
